x,y,depth
415,497,465
415,496,465
416,498,465
415,497,466
416,498,465
416,497,465
415,497,465
417,498,466
416,497,465
416,497,465
416,497,465
416,497,465
416,497,465
416,497,465
415,498,465
416,497,466
415,496,466
416,498,466
415,498,467
416,498,467
416,498,467
416,498,466
416,498,467
416,498,467
416,498,466
416,497,467
417,498,467
415,498,466
416,498,467
416,498,467
415,498,467
417,498,467
416,498,467
415,497,468
416,497,467
416,497,468
416,498,467
416,497,468
416,498,467
416,497,467
416,498,467
416,497,468
416,498,467
416,498,467
416,497,468
416,498,468
416,497,467
416,498,468
415,497,468
415,498,468
416,498,468
416,498,468
416,498,468
416,498,468
416,498,468
415,498,468
416,497,468
416,498,468
416,499,468
416,497,468
416,498,468
416,498,468
416,498,468
416,497,468
416,498,468
416,498,468
416,498,468
416,499,468
416,499,468
416,498,467
416,498,468
416,498,468
416,498,468
416,498,468
416,498,467
416,498,468
416,499,468
416,499,468
416,498,468
416,498,467
416,499,468
415,498,468
416,497,468
415,498,468
416,498,468
415,498,467
416,498,468
416,498,468
416,498,468
416,498,468
417,498,467
416,499,467
417,499,468
416,498,467
416,498,467
416,498,467
416,498,467
416,499,467
416,498,467
416,498,467
415,498,467
415,498,467
416,498,467
416,498,467
415,498,467
415,498,467
415,498,467
415,498,466
415,498,467
415,498,467
416,498,467
415,498,466
415,499,467
415,499,468
416,498,467
415,498,467
415,498,466
415,498,467
416,498,467
415,498,467
417,499,467
415,499,467
416,498,467
415,498,467
415,499,468
415,498,467
415,498,467
415,499,467
415,498,467
415,498,467
415,498,467
415,498,467
415,498,467
415,499,467
415,498,467
415,500,468
415,498,467
415,497,466
415,498,467
415,499,467
415,498,467
415,498,467
415,498,467
415,498,467
414,497,466
415,498,465
416,497,464
416,499,465
416,497,465
416,498,465
416,497,465
416,498,465
416,497,465
416,497,465
416,497,465
415,497,465
416,497,465
416,497,465
416,497,465
416,499,465
416,497,465
416,498,465
417,497,465
416,498,465
416,497,465
416,498,465
416,497,465
416,498,464
416,497,465
416,498,465
