x,y,depth
642,298,479
641,299,480
641,299,480
641,299,480
641,299,481
642,304,485
641,299,481
641,299,481
641,299,481
641,299,481
641,299,482
642,299,482
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
642,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
642,299,481
641,299,481
641,299,481
641,299,482
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
642,299,481
641,299,481
642,298,482
642,298,481
641,298,481
641,299,481
641,299,481
641,299,481
641,299,482
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,482
641,299,481
642,298,482
641,299,481
641,299,481
641,299,481
642,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
642,298,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,482
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
642,298,481
642,298,481
641,299,481
641,299,481
641,299,482
642,298,481
641,299,481
642,298,482
641,299,482
642,298,481
641,299,482
642,298,481
642,299,481
641,299,481
641,299,481
641,299,481
642,298,482
641,299,482
642,299,482
641,299,481
641,299,482
641,299,481
641,299,481
641,299,482
641,299,481
642,299,481
641,299,481
641,301,483
641,299,481
641,299,481
642,298,481
641,299,481
642,299,482
641,299,481
641,299,481
641,299,481
642,298,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,482
642,299,481
642,299,481
642,299,481
641,299,481
641,299,482
641,299,481
642,298,481
641,299,481
641,299,481
641,299,482
641,299,481
641,299,482
641,299,481
642,299,481
641,299,481
641,299,481
641,299,481
641,299,481
642,298,481
642,298,481
641,299,481
641,299,481
642,298,481
641,299,481
642,299,481
641,299,481
641,299,482
641,299,481
641,299,482
641,299,481
642,299,481
642,298,481
641,299,481
642,299,481
642,298,482
641,299,482
642,299,481
641,299,482
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
641,299,481
642,298,481
642,298,481
642,299,481
641,299,481
642,298,481
641,299,481
641,299,481
641,299,481
641,299,481
642,298,481
641,299,481
641,299,481
641,299,481
642,298,481
642,298,481
641,299,482
