x,y,depth
642,443,471
642,443,472
642,444,473
642,443,472
642,443,473
642,443,473
643,443,473
643,444,474
642,443,473
644,444,474
642,443,473
644,443,474
644,444,474
643,443,473
642,443,473
643,443,473
642,443,474
641,444,475
642,443,473
642,443,474
642,444,474
644,444,475
643,443,474
643,443,473
644,443,473
644,444,474
644,444,474
642,443,474
643,443,473
643,444,474
642,444,475
644,443,473
643,445,475
643,443,473
644,443,474
642,443,473
643,444,475
642,443,473
643,443,474
642,445,475
644,443,473
644,443,474
643,444,475
642,443,473
644,443,474
642,443,473
643,443,474
642,443,474
643,443,473
642,443,474
643,444,474
643,444,474
644,443,473
642,443,474
642,443,474
642,443,473
644,443,473
642,444,474
642,444,474
644,444,475
643,443,473
642,443,474
643,443,473
642,443,473
643,443,474
643,443,474
642,443,474
642,444,475
644,443,473
642,444,474
644,444,474
642,444,474
643,443,473
643,443,473
643,444,474
641,444,475
643,443,473
644,443,473
642,444,475
644,445,474
642,443,474
643,444,475
642,443,474
643,443,474
644,443,473
642,443,473
643,443,474
643,443,473
642,443,474
644,443,474
643,444,474
643,444,474
642,443,474
642,443,473
644,443,474
644,443,473
644,443,473
644,444,474
644,444,475
644,443,473
644,443,473
644,444,474
643,443,473
642,444,474
642,444,475
642,443,474
644,443,473
642,443,473
644,443,473
641,444,474
644,443,473
644,444,474
642,443,473
643,443,473
642,443,474
643,444,474
642,443,474
642,443,474
642,444,475
642,444,474
642,443,473
642,444,474
643,444,474
643,443,473
644,443,474
643,443,473
642,444,475
642,443,473
642,443,474
642,443,474
644,444,474
643,444,475
642,443,474
642,443,473
642,443,473
642,443,473
644,444,474
643,443,473
643,443,473
643,444,474
642,443,474
642,443,474
642,443,473
643,444,475
642,444,474
642,443,473
643,444,475
642,443,473
644,444,475
643,443,473
642,443,473
643,443,474
642,443,474
641,444,475
644,443,473
642,444,475
642,444,474
642,444,475
642,443,474
644,443,473
642,443,473
642,443,473
642,443,473
642,443,473
643,443,473
642,443,474
642,443,473
644,444,475
644,443,474
642,443,474
643,444,475
643,443,474
642,443,474
643,444,474
642,443,474
643,443,474
643,444,474
644,444,475
644,444,475
644,444,474
643,443,473
644,443,474
642,443,474
644,443,473
642,444,474
643,444,475
642,443,473
643,443,473
644,443,473
642,444,474
643,443,474
644,444,474
642,443,474
644,444,474
642,444,475
642,443,474
644,444,474
642,443,474
644,443,473
642,443,474
