x,y,depth
457,171,527
457,171,528
457,171,528
457,171,528
458,171,529
457,171,528
458,172,528
457,171,529
458,172,528
458,172,528
458,172,528
458,172,528
457,171,528
458,172,528
458,171,528
457,171,528
457,172,528
457,171,529
457,172,528
457,171,528
457,172,529
457,172,529
458,172,528
457,171,529
457,172,529
457,171,528
457,172,529
457,172,528
457,172,528
457,172,529
457,172,528
457,172,529
457,172,528
457,171,529
457,172,529
457,171,528
458,172,529
457,172,528
457,172,529
457,172,529
456,172,528
457,171,528
457,172,529
457,171,528
457,172,528
457,171,528
457,172,528
457,172,529
457,172,528
457,172,529
457,172,528
458,172,528
457,171,528
456,172,528
457,171,528
458,172,528
457,171,528
457,172,529
457,172,528
457,172,528
457,171,528
457,171,528
457,171,528
457,172,529
457,172,528
457,172,528
457,171,528
457,172,528
457,172,528
457,172,528
457,172,528
457,172,528
457,172,528
457,171,528
457,172,528
456,172,529
457,172,528
457,171,529
457,172,528
458,172,528
458,172,528
457,171,529
457,171,528
457,172,528
457,172,529
458,171,528
458,172,529
458,172,528
458,172,528
457,173,529
457,172,529
457,172,529
457,171,528
458,172,528
457,172,528
457,172,528
457,172,529
458,173,529
457,171,528
457,171,529
457,171,529
458,172,529
457,172,528
457,172,529
458,172,528
457,172,528
457,172,529
457,172,528
458,172,529
457,172,528
457,171,529
457,172,528
457,172,528
457,171,529
456,172,529
457,172,528
457,172,528
457,171,528
457,172,529
457,171,529
457,172,528
458,172,528
458,172,528
457,172,528
457,172,529
457,172,529
457,172,529
458,172,529
457,172,529
458,172,529
457,172,529
458,172,529
457,172,529
457,172,528
457,172,529
457,172,529
457,172,529
457,172,529
457,172,529
457,172,528
458,172,529
457,172,528
457,172,528
457,172,528
457,171,529
457,171,529
457,171,528
457,172,528
457,172,528
457,171,529
457,171,528
457,172,529
457,172,528
457,172,529
457,172,529
457,171,529
457,172,528
457,171,528
457,172,529
458,172,528
457,172,529
457,172,529
457,172,528
457,172,529
457,171,529
457,172,529
458,172,529
457,172,529
457,172,529
457,172,529
457,172,529
458,172,529
457,172,529
457,172,529
457,172,529
457,172,529
457,172,528
456,172,529
458,172,529
457,171,528
457,173,529
457,172,528
457,172,528
457,171,529
457,171,529
457,172,529
457,171,529
457,172,529
457,172,529
457,171,529
457,172,528
457,171,529
458,172,529
457,172,528
457,171,528
457,172,528
457,172,528
457,172,529
457,172,529
457,172,529
