x,y,depth
458,171,527
457,171,528
458,171,527
457,171,528
458,171,528
458,171,528
458,172,528
457,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
457,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
457,171,528
458,171,528
458,171,528
458,171,527
458,171,528
458,171,528
457,171,528
458,171,528
458,171,528
458,171,528
458,170,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,172,529
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,172,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
457,172,528
458,171,528
458,171,528
457,171,527
458,171,528
458,171,527
457,171,528
458,170,527
458,171,528
458,171,528
458,171,528
458,171,528
458,171,529
458,171,528
457,171,528
458,172,528
458,171,528
458,170,527
458,171,528
458,171,528
458,171,528
458,171,527
458,171,528
458,172,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,170,527
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,529
457,171,528
457,172,528
458,171,528
458,171,528
457,171,528
458,171,528
457,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,172,528
458,171,528
457,171,528
458,172,528
458,171,528
458,171,528
458,171,528
457,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,529
458,171,528
458,171,529
458,171,528
458,171,528
458,171,528
458,172,528
457,171,528
458,171,528
458,171,528
458,171,529
458,171,528
458,171,528
457,171,528
457,171,528
458,171,528
458,171,528
458,170,527
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,170,527
458,171,528
458,171,528
458,171,528
458,172,529
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
457,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,173,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,529
458,170,528
457,170,527
457,171,528
458,171,528
458,171,528
457,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,170,527
458,172,528
458,170,527
458,171,529
458,171,528
457,171,528
458,171,528
458,171,528
458,171,528
458,171,528
457,171,528
458,171,529
458,171,527
458,171,528
458,171,528
458,171,528
458,171,528
457,171,528
458,171,528
458,171,528
457,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,172,528
458,171,528
457,171,529
458,170,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,529
458,171,528
458,171,528
458,171,529
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
457,171,528
457,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,527
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,170,527
458,171,528
458,171,528
458,170,527
458,171,528
458,171,528
458,171,528
458,171,528
458,170,527
458,171,529
458,171,528
458,171,528
458,171,528
458,170,528
458,171,529
458,171,529
458,171,528
458,171,528
458,171,528
458,171,529
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,529
458,171,528
458,171,529
458,171,529
458,171,528
458,170,528
458,171,528
458,171,528
458,171,528
458,171,529
458,171,528
458,170,527
458,171,528
458,171,528
457,171,529
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
458,171,529
458,171,528
458,171,528
458,171,528
458,171,528
458,171,528
457,172,528
458,171,528
458,171,528
458,171,528
458,171,528
458,170,528
458,171,528
458,171,528
458,171,528
458,171,527
458,172,528
457,171,528
458,170,527
