x,y,depth
1035,300,494
1034,302,496
1035,302,496
1034,300,495
1034,302,496
1035,302,496
1035,300,496
1035,302,496
1035,300,496
1035,300,496
1035,302,496
1035,302,497
1035,302,497
1035,300,496
1034,302,497
1034,300,497
1034,300,496
1035,301,497
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1035,300,496
1034,300,496
1034,302,497
1034,302,497
1034,300,496
1035,300,496
1035,300,496
1034,300,497
1034,302,497
1034,300,496
1035,300,496
1034,302,497
1035,301,497
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1034,300,497
1034,302,497
1034,300,496
1034,300,496
1034,300,497
1034,300,496
1034,300,496
1035,300,496
1034,300,496
1034,300,497
1034,302,497
1034,302,497
1034,300,496
1035,300,497
1034,300,496
1034,300,497
1034,300,497
1034,300,496
1034,300,496
1034,300,497
1034,300,497
1034,300,496
1035,300,496
1034,300,497
1034,302,497
1034,300,496
1034,300,496
1035,300,497
1034,300,496
1034,300,496
1035,300,496
1035,300,496
1034,302,497
1035,300,496
1034,300,497
1034,300,496
1034,300,496
1034,302,497
1034,302,498
1034,300,496
1034,300,496
1035,300,497
1034,300,496
1034,300,496
1034,302,497
1035,302,497
1035,300,496
1034,300,497
1034,300,496
1034,300,496
1034,302,497
1034,300,496
1034,300,497
1034,300,497
1034,300,496
1034,300,497
1034,300,496
1034,300,496
1034,302,497
1034,300,497
1034,300,496
1034,300,496
1034,302,497
1034,300,496
1034,302,497
1035,300,496
1035,302,497
1034,300,496
1034,300,497
1034,302,498
1034,300,496
1034,300,496
1034,300,497
1034,300,497
1034,300,496
1035,300,497
1034,300,496
1034,300,496
1034,300,496
1035,300,496
1034,300,496
1034,300,496
1034,301,497
1034,300,497
1034,302,497
1034,302,497
1035,300,496
1034,300,496
1034,300,496
1034,300,497
1034,300,496
1034,301,498
1034,300,497
1034,300,497
1034,300,496
1034,300,496
1034,302,497
1034,300,496
1034,300,496
1034,300,496
1035,300,496
1034,300,496
1034,300,496
1034,300,497
1035,300,497
1034,300,497
1034,300,496
1034,302,497
1034,300,496
1034,302,497
1034,302,497
1035,300,496
1034,300,496
1034,302,497
1034,300,496
1034,300,496
1034,302,497
1034,300,496
1034,302,497
1034,300,497
1034,302,498
1034,300,497
1034,300,496
1034,300,496
1034,302,497
1034,300,496
1034,300,497
1035,300,497
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1034,302,497
1034,300,497
1034,300,496
1034,300,496
1034,300,497
1034,300,496
1034,300,496
1034,302,497
1035,300,496
1034,300,496
1034,300,496
1035,302,497
1034,302,497
1034,300,497
1034,300,496
1034,302,497
1034,300,496
1034,300,496
1034,302,497
1034,300,496
1034,302,497
1034,300,497
1034,300,497
1034,300,496
1034,300,496
1035,300,496
1034,300,496
1034,301,497
1034,300,496
1035,300,496
1034,300,496
1034,300,496
1034,300,496
1035,302,497
1034,300,496
1034,300,497
1034,301,497
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1034,302,497
1034,300,496
1034,302,497
1034,300,497
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1034,300,496
1035,302,497
1035,300,496
1034,300,496
1034,302,497
1034,302,497
1035,300,496
1035,300,496
1035,300,496
1034,300,496
1034,300,496
1034,300,497
1034,300,496
1034,300,496
1035,300,496
1034,302,497
1034,300,496
1034,300,496
1034,302,497
1034,300,496
1034,302,498
1034,300,496
1034,300,496
1034,300,496
1034,302,497
1034,302,497
1034,300,496
1034,300,496
1034,300,496
1034,300,497
1034,300,496
1034,302,498
1034,300,496
1034,302,497
1035,301,497
1034,300,496
1034,300,496
1034,301,497
1034,300,496
1035,300,497
1034,300,496
1034,300,496
1034,300,496
1035,300,496
1035,300,497
1034,300,496
1034,300,496
1034,302,497
1034,300,496
1034,301,497
1034,300,496
1034,300,496
1034,300,496
1034,301,497
1034,300,496
1034,300,496
1034,302,498
1034,300,497
1034,300,496
1034,300,497
