x,y,depth
638,280,461
639,281,462
638,281,463
637,281,463
637,281,463
637,281,463
637,281,463
637,281,463
638,281,463
639,281,464
638,281,463
638,281,464
638,281,464
638,281,463
639,281,464
637,281,464
637,281,464
637,281,464
638,281,464
639,281,464
638,281,464
638,281,464
638,281,464
637,281,464
638,281,463
637,281,464
637,281,464
637,281,464
638,281,464
637,281,463
639,281,463
637,281,464
637,281,464
638,281,464
639,281,464
638,281,464
637,281,464
637,281,463
637,281,464
638,281,463
637,281,464
637,281,464
637,281,464
637,281,464
638,281,464
638,281,464
637,281,464
639,281,464
637,281,463
637,281,463
637,281,464
638,281,464
637,281,464
637,281,464
638,281,464
637,281,464
638,281,464
638,281,464
639,281,464
637,281,464
638,281,464
637,281,464
637,281,464
637,281,464
637,281,463
637,281,464
638,281,464
638,281,464
637,281,464
638,281,464
639,281,464
637,281,464
637,281,464
637,281,464
638,281,464
637,281,463
637,281,464
637,281,464
637,281,463
638,281,463
637,281,464
637,281,464
638,281,464
637,281,464
638,281,464
638,281,463
637,281,464
637,281,464
639,281,464
638,281,463
637,281,464
637,281,464
637,281,464
638,281,464
637,281,463
637,281,464
637,281,464
638,281,464
638,281,464
639,281,464
638,281,464
637,281,464
638,281,464
637,281,464
637,281,463
637,281,463
639,281,464
639,281,464
637,281,464
638,281,463
638,281,464
637,281,464
638,281,463
639,281,464
639,281,464
637,281,464
637,281,464
638,281,463
638,281,463
637,281,464
638,281,464
639,281,464
638,281,464
637,281,464
638,281,464
637,281,464
638,281,464
637,281,464
637,281,464
638,281,464
637,281,464
638,281,464
638,281,464
637,281,463
637,281,464
639,281,464
638,281,464
637,281,464
638,281,464
637,281,464
637,281,464
637,281,463
637,281,464
638,281,464
637,281,463
637,281,464
638,281,464
638,281,464
637,281,464
637,281,463
638,281,464
637,281,464
637,281,463
637,281,464
637,281,464
637,281,463
637,281,464
638,281,464
637,281,464
637,281,464
638,281,464
638,281,464
637,281,464
637,281,464
637,281,464
638,281,464
637,281,464
637,281,464
637,281,464
638,281,464
637,281,464
637,281,464
638,281,464
639,281,464
638,281,463
639,281,464
637,281,463
638,281,463
637,281,464
638,281,463
637,281,464
638,281,463
637,281,464
637,281,464
638,281,464
637,281,464
637,281,464
637,281,464
638,281,463
639,281,463
638,281,464
637,281,464
638,281,464
639,281,464
638,281,464
637,281,464
639,281,464
638,281,463
637,281,464
638,281,464
