x,y,depth
644,316,496
644,316,497
644,316,497
644,316,497
644,316,498
644,316,497
644,316,498
644,316,498
644,316,498
644,316,498
644,316,498
644,316,498
643,317,498
644,317,499
644,316,498
644,317,499
644,316,499
644,316,498
643,318,499
644,318,498
644,317,499
643,317,499
644,318,499
644,316,499
644,316,499
644,316,499
644,318,499
644,316,499
644,316,499
644,316,499
644,317,499
644,317,499
643,317,499
644,316,499
644,317,499
644,316,499
644,318,499
644,317,499
643,317,499
644,317,499
644,316,499
644,316,499
643,317,499
644,316,499
644,316,499
644,316,499
643,317,498
644,316,499
644,317,499
644,317,499
644,318,499
644,316,499
644,316,498
644,316,498
644,316,498
643,317,499
644,316,498
644,316,499
644,317,499
644,316,499
643,317,498
644,317,499
644,316,498
644,316,499
644,317,499
644,317,499
644,316,498
643,317,499
644,318,499
644,317,499
644,317,499
644,317,499
643,317,499
644,317,499
644,318,499
643,317,499
644,318,499
644,317,499
644,317,499
644,317,499
644,317,499
644,316,499
644,317,499
644,316,499
644,317,499
644,316,499
644,316,499
643,317,499
644,316,499
644,316,499
644,316,498
643,317,499
644,317,498
644,316,499
644,317,499
644,316,499
644,316,498
644,316,498
644,316,498
643,317,499
644,318,499
644,317,499
644,316,499
644,318,499
644,318,499
644,316,499
642,317,499
644,316,499
644,317,498
643,317,498
644,317,499
643,317,499
644,318,499
644,316,498
644,316,499
644,318,499
644,316,499
644,316,499
644,317,499
644,317,498
642,317,499
644,317,498
644,317,498
644,317,499
644,316,499
644,316,499
644,316,499
644,316,499
644,316,499
643,317,498
644,316,499
644,316,499
643,317,499
644,316,499
642,317,499
644,318,498
644,316,499
644,316,498
644,317,499
643,317,499
643,317,499
644,316,498
643,317,499
644,316,499
644,317,499
644,317,498
644,316,498
643,317,499
644,317,499
644,317,499
644,316,499
643,317,499
643,317,499
643,317,499
644,316,499
644,318,499
644,316,499
644,317,498
644,316,499
644,317,499
643,317,499
644,316,499
644,317,499
644,317,499
644,317,499
644,317,499
644,317,499
643,317,499
643,317,498
644,316,499
644,316,499
644,317,499
643,317,499
644,316,499
644,316,498
643,317,498
644,316,499
644,317,499
644,316,499
642,317,499
644,317,499
644,316,499
643,317,499
644,316,499
644,316,499
644,317,499
644,317,499
644,316,499
644,316,499
644,317,499
644,316,498
644,317,499
644,316,498
643,317,499
644,317,499
644,318,499
644,317,499
644,316,499
644,316,499
644,317,498
