x,y,depth
642,442,471
643,444,473
643,444,474
644,444,473
643,444,474
643,444,474
643,444,474
643,443,473
643,444,474
643,444,474
643,445,474
643,444,474
643,445,474
643,445,475
643,444,474
643,444,474
643,444,474
643,445,474
643,444,474
643,444,474
643,445,475
643,441,473
643,445,475
643,444,474
643,445,475
643,445,474
643,444,474
643,444,474
643,445,475
643,445,474
643,445,475
643,445,475
643,445,474
643,443,473
643,444,473
643,445,474
643,445,474
644,445,474
643,442,473
642,442,473
643,445,475
643,445,474
643,444,474
643,445,474
643,444,474
644,444,474
643,442,473
643,445,474
643,442,473
643,444,474
643,445,474
643,444,474
643,445,474
643,444,474
643,445,474
643,445,474
643,444,474
643,445,475
643,445,474
643,444,474
643,444,474
643,444,474
643,444,474
643,445,475
643,444,474
644,444,474
643,442,473
643,444,474
643,444,474
643,444,474
643,445,474
643,444,474
643,444,474
643,445,474
643,444,474
644,444,474
644,445,474
643,444,474
643,445,474
643,444,474
644,444,474
643,445,474
643,444,474
643,444,474
644,444,474
643,445,474
644,444,474
643,442,473
644,444,474
643,445,475
642,444,474
643,445,474
642,443,473
643,444,474
643,444,474
643,445,474
643,444,474
643,444,474
643,443,473
643,444,474
643,445,474
643,445,474
643,444,474
644,445,474
643,444,474
643,445,474
643,444,474
643,445,475
644,444,474
643,444,474
643,445,474
643,445,474
643,445,474
643,444,474
643,445,474
643,444,474
643,445,474
643,444,474
643,445,475
643,445,474
643,444,474
643,444,474
643,442,473
644,445,474
643,442,473
643,444,474
643,445,474
644,444,474
642,445,474
643,445,474
644,445,475
643,445,475
643,444,474
643,444,474
643,442,473
643,445,474
643,444,474
643,445,474
642,445,474
643,444,474
644,445,474
643,445,475
643,444,474
643,442,473
643,444,474
643,445,474
643,444,474
643,445,474
643,445,474
643,444,474
644,444,474
643,444,474
643,444,474
643,445,475
643,444,474
643,444,474
643,442,473
643,444,475
643,445,474
643,445,474
643,443,473
643,445,475
642,445,475
643,445,474
643,445,475
643,444,474
643,444,474
643,445,474
643,445,474
643,444,474
643,444,474
643,443,473
643,445,475
643,444,474
643,444,474
643,445,474
643,445,475
643,445,474
643,444,474
643,445,475
643,445,474
643,445,475
643,445,474
643,444,475
643,442,473
643,444,474
644,444,474
643,442,473
644,444,474
643,444,474
644,445,474
644,444,474
643,444,474
643,444,474
643,445,474
643,445,475
643,445,475
643,445,474
643,444,474
643,444,474
643,442,473
643,445,474
643,445,475
643,445,475
643,445,474
