x,y,depth
828,171,523
828,172,524
828,172,524
829,171,524
828,173,525
828,172,525
828,171,525
828,172,525
828,172,524
828,172,525
828,172,525
829,173,525
827,173,525
828,172,525
828,172,525
828,173,525
828,172,525
828,172,525
828,172,525
828,171,524
828,172,525
828,172,525
828,171,526
829,173,525
828,172,525
829,173,525
829,172,525
828,173,525
828,173,525
828,173,525
828,172,525
828,173,525
829,172,525
828,173,525
828,173,525
829,171,525
828,171,525
829,173,525
828,173,525
828,172,525
828,174,526
828,172,525
828,173,526
829,172,525
829,173,525
828,171,525
828,172,525
828,172,525
828,171,525
828,171,525
828,172,525
829,173,525
828,172,525
828,173,526
828,173,525
828,172,525
828,174,526
828,172,525
829,173,525
826,171,526
828,173,525
829,173,525
828,172,526
829,171,525
828,172,525
828,173,525
828,172,525
829,173,525
828,173,526
828,172,525
829,174,526
828,172,525
829,173,526
829,174,526
828,172,525
828,171,525
828,172,525
828,171,525
828,174,525
828,172,525
828,173,525
828,171,525
827,173,526
828,173,525
829,173,525
826,171,525
828,172,525
829,173,525
828,173,525
828,172,525
828,173,525
828,171,525
828,172,526
828,171,525
828,172,525
829,171,525
828,171,525
828,173,525
828,173,525
829,173,526
828,172,525
828,174,526
828,172,525
828,172,525
828,172,525
828,172,525
828,173,524
827,173,526
828,172,524
828,173,525
829,172,525
828,172,525
828,172,525
828,171,526
828,171,525
828,172,526
829,174,526
828,172,526
829,173,525
828,173,525
829,171,525
828,174,525
828,172,525
827,172,526
827,171,525
828,173,525
829,171,525
829,171,525
828,171,525
829,173,525
828,171,525
828,171,525
828,173,526
829,173,525
829,171,525
828,171,525
829,172,525
828,171,526
828,172,525
829,173,525
828,172,525
829,173,525
828,172,526
828,172,525
828,173,525
828,173,525
828,172,525
828,172,525
828,171,525
828,171,526
828,173,525
828,173,526
828,171,524
829,173,525
828,173,524
828,172,525
828,173,526
828,172,525
828,173,525
828,171,525
828,173,525
828,171,525
828,173,525
828,171,525
828,173,525
828,172,526
829,173,525
828,173,525
829,173,525
828,172,525
828,171,525
829,173,525
828,172,524
828,171,526
828,174,526
829,172,525
829,173,525
828,172,525
828,174,526
828,172,525
828,172,525
828,172,525
828,174,525
827,174,526
828,172,525
828,171,524
828,172,525
828,172,525
829,174,526
828,173,525
828,172,525
829,173,525
828,174,526
829,173,525
828,172,525
828,172,525
828,172,526
828,172,525
828,172,525
828,171,525
