x,y,depth
828,172,523
828,173,524
829,171,524
828,173,524
829,172,524
829,173,524
828,172,524
828,174,524
828,173,524
828,172,525
828,172,524
828,173,524
828,174,525
828,173,524
828,172,524
828,172,524
828,172,525
828,173,524
828,172,524
828,173,524
829,172,524
828,172,524
828,173,524
829,174,524
828,172,524
828,172,524
829,172,525
828,172,525
828,173,524
829,173,524
829,171,524
829,172,525
828,172,524
828,172,525
828,172,524
828,173,525
830,172,525
828,172,524
829,172,524
828,173,524
829,175,526
829,173,525
829,173,525
829,173,524
829,173,525
829,172,524
829,172,525
829,174,526
829,172,524
828,172,525
827,175,526
829,173,524
829,174,524
828,173,524
829,173,524
829,172,525
828,172,524
829,173,525
829,171,525
828,172,525
829,172,524
829,172,525
828,173,525
828,172,525
828,172,525
829,174,525
829,173,524
829,172,524
828,171,525
829,173,524
829,174,525
829,172,524
829,172,525
829,173,524
828,172,524
829,173,524
829,172,524
829,173,525
828,175,526
829,173,525
829,172,525
828,173,524
829,173,525
828,173,524
829,173,524
829,173,524
829,173,525
829,172,525
828,172,525
829,173,525
828,173,524
829,173,525
829,173,524
829,174,525
828,173,524
829,173,525
829,173,524
829,172,524
829,173,524
828,173,525
828,174,525
829,173,525
828,173,524
829,172,524
828,173,525
828,173,524
829,173,524
828,172,525
828,172,525
828,172,524
828,174,525
828,172,524
829,175,525
829,172,525
829,173,524
828,173,525
828,173,525
828,172,524
828,173,525
829,172,525
828,173,525
828,173,524
828,171,524
828,172,525
829,173,524
828,173,524
828,172,525
828,172,525
829,173,525
828,172,524
828,173,524
829,172,525
828,172,525
828,172,524
828,173,525
829,172,524
828,172,524
828,173,524
828,175,526
829,173,524
829,172,525
828,172,525
829,173,524
828,172,524
829,172,525
828,172,524
828,172,524
829,171,525
828,173,524
828,172,525
829,172,524
829,174,525
830,172,524
828,171,524
828,172,525
829,172,524
828,172,524
829,172,524
828,172,524
829,173,524
829,172,525
828,172,524
829,172,525
828,172,524
827,172,524
828,173,524
829,172,524
828,174,525
829,172,525
829,172,524
828,172,524
828,172,524
829,173,524
829,171,524
827,175,526
828,174,524
829,173,524
828,174,525
829,173,524
829,172,524
829,172,524
829,173,524
828,173,524
828,174,525
828,174,525
827,172,525
829,172,524
828,172,524
828,175,526
829,173,525
829,172,524
828,174,525
829,172,525
828,173,524
828,175,526
828,173,524
829,172,524
828,172,524
829,173,524
828,172,524
829,174,524
828,173,525
828,173,525
827,172,525
828,172,524
829,172,525
828,173,524
829,173,524
829,172,525
829,173,524
828,172,525
829,174,525
828,174,525
828,174,525
828,172,524
828,172,524
828,172,524
829,173,525
829,171,524
829,172,524
828,173,524
829,173,524
828,173,524
828,172,525
826,173,525
829,173,525
829,171,525
828,173,524
828,172,524
828,172,524
829,173,524
828,173,524
829,172,524
828,173,524
828,172,524
828,174,525
829,174,525
828,172,525
828,172,525
829,173,524
828,172,524
829,172,524
829,172,525
829,172,524
829,173,525
828,174,525
829,175,525
829,174,525
829,174,525
829,173,524
828,173,524
827,174,525
828,174,525
829,172,524
828,172,524
829,172,524
829,172,525
829,172,525
829,172,525
828,172,525
829,172,524
829,172,524
828,172,524
828,173,525
829,172,525
828,172,524
828,172,525
829,172,524
829,172,525
829,172,525
829,172,525
828,174,524
828,172,525
829,172,524
828,173,524
829,174,525
828,173,525
829,173,524
829,172,525
